CID	Activity	MolecularWeight	HeavyAtomCount	RotatableBondCount	Complexity	XLogP	TPSA	HBondDonorCount	HBondAcceptorCount
11538472	Active	395.400000	28	5	544.0	4.3	61.8	2	7
11545475	Active	384.500000	27	6	565.0	4.3	76.7	1	5
11548068	Active	516.600000	37	7	889.0	6.7	88.0	2	8
11558794	Active	320.740000	22	3	590.0	3.1	62.1	1	5
11560003	Active	382.500000	28	7	541.0	4.5	58.1	2	4
11567352	Active	392.900000	28	3	634.0	6.3	44.9	2	2
11567630	Active	404.800000	27	6	477.0	6.4	29.5	1	6
11568433	Active	442.500000	32	6	629.0	7.2	45.2	2	6
11571692	Active	1136.500000	80	12	2260.0	6.800	247.0	7	18
11585049	Inactive	578.700000	41	12	1130.0	3.5	158.0	4	9
11589982	Active	427.500000	29	6	561.0	5.7	70.6	1	8
11590471	Active	449.500000	31	5	776.0	5.300	94.1	2	7
11591199	Active	486.500000	35	5	888.0	5.4	88.0	2	8
11595527	Active	352.900000	25	1	536.0	5.3	44.9	2	2
11596392	Active	396.500000	29	7	555.0	5.0	58.1	2	4
11596794	Active	414.500000	30	5	585.0	6.2	45.2	2	6
11611666	Active	428.500000	31	5	614.0	6.7	45.2	2	6
11613022	Active	500.500000	36	5	904.0	6.0	88.0	2	8
11613420	Active	528.600000	38	5	933.0	7.1	88.0	2	8
11631740	Active	354.900000	25	1	498.0	5.000	48.0	3	2
11640164	Active	410.400000	29	6	559.0	4.8	58.1	2	7
11640246	Active	414.500000	30	5	585.0	6.3	45.2	2	6
11646689	Active	384.500000	28	7	515.0	5.1	58.1	2	4
11653520	Active	366.900000	26	1	575.0	5.7	44.9	2	2
11655053	Active	438.400000	31	6	684.0	4.2	62.7	1	9
11661172	Active	394.400000	28	5	541.0	5.2	48.9	2	6
11663141	Active	488.500000	35	5	860.0	5.7	88.0	2	8
11663523	Active	514.500000	37	5	918.0	6.5	88.0	2	8
11667800	Active	368.900000	26	1	536.0	5.6	48.0	3	2
11668984	Active	422.400000	30	5	666.0	4.6	53.4	1	8
11690269	Active	419.400000	30	5	663.0	5.2	60.8	2	7
11696378	Active	370.500000	27	7	489.0	4.6	58.1	2	4
11697882	Active	439.900000	30	5	623.0	4.8	71.0	2	7
11699191	Active	514.500000	37	5	918.0	6.5	88.0	2	8
11710962	Active	395.400000	28	5	544.0	4.7	61.8	2	7
11728656	Active	381.900000	27	3	603.0	5.7	30.5	1	3
11731863	Active	389.500000	28	1	674.0	5.8	49.5	1	4
11733546	Active	480.600000	35	3	905.0	3.600	95.6	3	6
11741168	Active	391.400000	27	6	516.0	3.3	49.8	1	8
