PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144207408,61032,0,inactive,inactive,,0
144211504,61038,0,inactive,inactive,,0
144213681,61040,0,inactive,inactive,,0
144209921,61041,0,inactive,inactive,,0
144212644,61048,0,inactive,inactive,,0
144212989,61051,0,inactive,inactive,,0
144211868,61053,0,inactive,inactive,,0
144212852,61054,0,inactive,inactive,,0
144212393,61055,0,inactive,inactive,,0
144209632,61056,0,inactive,inactive,,0
144208735,61057,0,inactive,inactive,,0
144212562,61059,0,inactive,inactive,,0
144212693,61080,41,active agonist,active agonist,,16.4251
144209940,61082,0,inactive,inactive,,0
144212907,61098,0,inactive,inactive,,0
144203787,61100,0,inactive,inactive,,0
144212601,61124,0,inactive,inactive,,0
144212386,61138,0,inactive,inactive,,0
144207734,61144,0,inactive,inactive,,0
144212651,61151,0,inactive,inactive,,0
144212339,61163,0,inactive,inactive,,0
144208385,61179,0,inactive,inactive,,0
144207888,61186,0,inactive,inactive,,0
144211979,61196,0,inactive,inactive,,0
144212645,61204,0,inactive,inactive,,0
144207557,61207,0,inactive,inactive,,0
144212946,61209,0,inactive,inactive,,0
144209967,61225,0,inactive,inactive,,0
144212194,61234,0,inactive,inactive,,0
144208352,61247,0,inactive,inactive,,0
144208375,61249,0,inactive,inactive,,0
144211268,61254,0,inactive,inactive,,0
144207845,61274,0,inactive,inactive,,0
144213800,61282,0,inactive,inactive,,0
144212115,61285,0,inactive,inactive,,0
144208124,61286,0,inactive,inactive,,0
144212966,61290,0,inactive,inactive,,0
144211690,61329,0,inactive,inactive,,0
144212765,61341,0,inactive,inactive,,0
144208425,61345,0,inactive,inactive,,0
144213027,61346,0,inactive,inactive,,0
144212844,61384,0,inactive,inactive,,0
144207371,61410,0,inactive,inactive,,0
144212871,61417,0,inactive,inactive,,0
144204731,61444,0,inactive,inactive,,0
144211160,61503,0,inactive,inactive,,0
144211379,61510,0,inactive,inactive,,0
144207473,61527,0,inactive,inactive,,0
144212116,61571,0,inactive,inactive,,0
144205176,61574,0,inactive,inactive,,0
144211859,61585,0,inactive,inactive,,0
144209688,61591,0,inactive,inactive,,0
144211545,61594,0,inactive,inactive,,0
144212876,61631,0,inactive,inactive,,0
144212882,61634,0,inactive,inactive,,0
144212803,61660,0,inactive,inactive,,0
144212953,61663,0,inactive,inactive,,0
144212599,61670,0,inactive,inactive,,0
144212632,61701,0,inactive,inactive,,0
144212026,61718,0,inactive,inactive,,0
144211098,61719,0,inactive,inactive,,0
144212091,61771,0,inactive,inactive,,0
144212627,61812,0,inactive,inactive,,0
144212692,61828,0,inactive,inactive,,0
144211602,61931,0,inactive,inactive,,0
144213008,61945,0,inactive,inactive,,0
144212268,61948,0,inactive,inactive,,0
144212606,61953,0,inactive,inactive,,0
144209775,61972,0,inactive,inactive,,0
144212896,61982,0,inactive,inactive,,0
144207043,62064,0,inactive,inactive,,0
144212960,62092,0,inactive,inactive,,0
144212975,62098,0,inactive,inactive,,0
144212749,62105,0,inactive,inactive,,0
144212432,62118,0,inactive,inactive,,0
144207684,62130,0,inactive,inactive,,0
144212254,62142,0,inactive,inactive,,0
144208212,62158,0,inactive,inactive,,0
144211272,62210,0,inactive,inactive,,0
144212877,62217,0,inactive,inactive,,0
144212205,62240,0,inactive,inactive,,0
144208498,62276,0,inactive,inactive,,0
144209266,62277,0,inactive,inactive,,0
144206389,62300,0,inactive,inactive,,0
144209414,62306,0,inactive,inactive,,0
144209350,62311,0,inactive,inactive,,0
144212092,62328,0,inactive,inactive,,0
144212565,62329,0,inactive,inactive,,0
144205860,62330,0,inactive,inactive,,0
144211721,62334,0,inactive,inactive,,0
144213023,62336,0,inactive,inactive,,0
144211709,62347,0,inactive,inactive,,0
144212926,62351,0,inactive,inactive,,0
144212580,62371,0,inactive,inactive,,0
144208391,62374,0,inactive,inactive,,0
144211624,62389,0,inactive,inactive,,0
144209725,62390,0,inactive,inactive,,0
144212500,62406,0,inactive,inactive,,0
144211995,62411,0,inactive,inactive,,0
144204062,62413,0,inactive,inactive,,0
144212549,62421,0,inactive,inactive,,0
144211786,62428,0,inactive,inactive,,0
144208263,62430,0,inactive,inactive,,0
144212529,62433,0,inactive,inactive,,0
144205385,62436,0,inactive,inactive,,0
144213013,62441,0,inactive,inactive,,0
144211909,62445,0,inactive,inactive,,0
144207211,62449,0,inactive,inactive,,0
144212550,62452,0,inactive,inactive,,0
144212625,62465,0,inactive,inactive,,0
144211281,62466,0,inactive,inactive,,0
144212978,62467,0,inactive,inactive,,0
144207656,62475,0,inactive,inactive,,0
144208797,62479,0,inactive,inactive,,0
144205639,62485,0,inactive,inactive,,0
144207844,62493,0,inactive,inactive,,0
144205486,62495,0,inactive,inactive,,0
144207278,62500,0,inactive,inactive,,0
144205402,62529,0,inactive,inactive,,0
144205932,62531,0,inactive,inactive,,0
144212883,62539,0,inactive,inactive,,0
144213172,62542,0,inactive,inactive,,0
144208919,62551,0,inactive,inactive,,0
144208343,62553,0,inactive,inactive,,0
144209077,62558,0,inactive,inactive,,0
144212409,62576,0,inactive,inactive,,0
144206483,62581,0,inactive,inactive,,0
144212779,62583,0,inactive,inactive,,0
144211694,62592,0,inactive,inactive,,0
144213708,62630,0,inactive,inactive,,0
144208359,62648,0,inactive,inactive,,0
144208524,62655,0,inactive,inactive,,0
144207205,62660,0,inactive,inactive,,0
144212974,62661,0,inactive,inactive,,0
144210069,62672,0,inactive,inactive,,0
144207499,62725,0,inactive,inactive,,0
144205386,62751,0,inactive,inactive,,0
144209738,62753,0,inactive,inactive,,0
144208357,62770,56,active agonist,active agonist,0.261577,61.5717
144211090,62781,0,inactive,inactive,,0
144208689,62783,0,inactive,inactive,,0
144206403,62786,0,inactive,inactive,,0
144212561,62817,0,inactive,inactive,,0
144206949,62820,0,inactive,inactive,,0
144213694,62823,0,inactive,inactive,,0
144205874,62827,0,inactive,inactive,,0
144211361,62829,0,inactive,inactive,,0
144212817,62835,0,inactive,inactive,,0
144212479,62852,0,inactive,inactive,,0
144204292,62881,0,inactive,inactive,,0
144209084,62882,0,inactive,inactive,,0
144204172,62884,0,inactive,inactive,,0
144213029,62902,0,inactive,inactive,,0
144212653,62907,0,inactive,inactive,,0
144212825,62923,0,inactive,inactive,,0
144203837,62935,0,inactive,inactive,,0
144206706,62937,49,active agonist,active agonist,16.2927,119.5
144204531,62960,0,inactive,inactive,,0
144208378,62969,0,inactive,inactive,,0
144204347,62978,0,inactive,inactive,,0
144204263,62999,0,inactive,inactive,,0
144206676,63002,0,inactive,inactive,,0
144204750,63009,0,inactive,inactive,,0
144205118,63047,87,active agonist,active agonist,0.00342918,102.143
144207117,63049,85,active agonist,active agonist,0.00379019,99.3813
144205135,64139,0,inactive,inactive,,0
144208119,64142,41,active agonist,active agonist,53.5324,56.1028
144205933,64184,0,inactive,inactive,,0
144205518,64517,0,inactive,inactive,,0
144204316,64646,0,inactive,inactive,,0
144206016,64647,0,inactive,inactive,,0
144205128,64710,0,inactive,inactive,,0
144204048,64713,0,inactive,inactive,,0
144204061,64722,0,inactive,inactive,,0
144204143,64740,0,inactive,inactive,,0
144206431,64761,0,inactive,inactive,,0
144205001,64764,0,inactive,inactive,,0
144212668,64772,0,inactive,inactive,,0
144205074,64782,0,inactive,inactive,,0
144211959,64805,0,inactive,inactive,,0
144212287,64819,0,inactive,inactive,,0
144211566,64832,0,inactive,inactive,,0
144211555,64865,0,inactive,inactive,,0
144203666,64927,0,inactive,inactive,,0
144207628,64947,0,inactive,inactive,,0
144206602,64949,0,inactive,inactive,,0
144207281,64961,0,inactive,inactive,,0
144208666,65064,0,inactive,inactive,,0
144210965,65067,41,active agonist,active agonist,47.1227,59.1148
144206343,65094,0,inactive,inactive,,0
144210164,65275,0,inactive,inactive,,0
144207140,65280,0,inactive,inactive,,0
144204863,65326,0,inactive,inactive,,0
144203680,65327,0,inactive,inactive,,0
144206565,65332,0,inactive,inactive,,0
144208216,65340,0,inactive,inactive,,0
144204812,65341,0,inactive,inactive,,0
144206973,65359,0,inactive,inactive,,0
144208979,65360,0,inactive,inactive,,0
144206863,65394,0,inactive,inactive,,0
144204743,65399,0,inactive,inactive,,0
144211252,65420,0,inactive,inactive,,0
144206098,65452,0,inactive,inactive,,0
144203574,65463,0,inactive,inactive,,0
144203971,65464,0,inactive,inactive,,0
144205357,65477,0,inactive,inactive,,0
144212784,65478,83,active agonist,active agonist,0.0170858,109.432
144204216,65483,0,inactive,inactive,,0
144204219,65492,47,active agonist,active agonist,7.22784,68.33
144206432,65494,0,inactive,inactive,,0
144204222,65495,0,inactive,inactive,,0
144210129,65522,0,inactive,inactive,,0
144213801,65552,0,inactive,inactive,,0
144210143,65575,0,inactive,inactive,,0
144205536,65584,0,inactive,inactive,,0
144205465,65596,0,inactive,inactive,,0
144205405,65600,0,inactive,inactive,,0
144205347,65614,0,inactive,inactive,,0
144206324,65628,0,inactive,inactive,,0
144206727,65632,0,inactive,inactive,,0
144205899,65651,0,inactive,inactive,,0
144205704,65659,0,inactive,inactive,,0
144206174,65681,0,inactive,inactive,,0
144205360,65682,0,inactive,inactive,,0
144205411,65684,0,inactive,inactive,,0
144203576,65708,0,inactive,inactive,,0
144207061,65709,0,inactive,inactive,,0
144203738,65710,0,inactive,inactive,,0
144203608,65758,0,inactive,inactive,,0
144205307,65760,0,inactive,inactive,,0
144204528,65768,0,inactive,inactive,,0
144205317,65770,0,inactive,inactive,,0
144205349,65776,0,inactive,inactive,,0
144206316,65781,0,inactive,inactive,,0
144205705,65784,0,inactive,inactive,,0
144205413,65790,0,inactive,inactive,,0
144206626,65800,0,inactive,inactive,,0
144204473,65854,0,inactive,inactive,,0
144206832,65870,0,inactive,inactive,,0
144206979,65889,0,inactive,inactive,,0
144205728,65894,20,active antagonist,active antagonist,3.8476,-23.1145
144206216,65906,0,inactive,inactive,,0
144205296,65909,0,inactive,inactive,,0
144205308,65940,0,inactive,inactive,,0
144205418,65944,0,inactive,inactive,,0
144205788,65947,0,inactive,inactive,,0
144206840,65953,43,active agonist,active agonist,25.8222,60.8827
144206084,65957,0,inactive,inactive,,0
144206082,65958,0,inactive,inactive,,0
144204272,65981,44,active agonist,active agonist,5.74128,39.0565
144205005,65999,0,inactive,inactive,,0
144204826,66007,0,inactive,inactive,,0
144209911,66011,0,inactive,inactive,,0
144209727,66041,0,inactive,inactive,,0
144204969,66061,0,inactive,inactive,,0
144203970,66063,0,inactive,inactive,,0
144206877,66067,0,inactive,inactive,,0
144210053,66068,0,inactive,inactive,,0
144204828,66069,0,inactive,inactive,,0
144204977,66070,0,inactive,inactive,,0
144204785,66091,0,inactive,inactive,,0
144211074,66094,0,inactive,inactive,,0
144211384,66117,0,inactive,inactive,,0
144206409,66124,0,inactive,inactive,,0
144209420,66166,0,inactive,inactive,,0
144208347,66172,0,inactive,inactive,,0
144211352,66187,0,inactive,inactive,,0
144210963,66204,0,inactive,inactive,,0
144211136,66207,0,inactive,inactive,,0
144204819,66245,0,inactive,inactive,,0
144206271,66251,0,inactive,inactive,,0
144206417,66264,0,inactive,inactive,,0
144211850,66308,0,inactive,inactive,,0
144209997,66320,0,inactive,inactive,,0
144211370,66357,0,inactive,inactive,,0
144205996,66359,0,inactive,inactive,,0
144204943,66377,0,inactive,inactive,,0
144203569,66435,0,inactive,inactive,,0
144208396,66449,0,inactive,inactive,,0
144211001,66461,0,inactive,inactive,,0
144211902,66491,0,inactive,inactive,,0
144208898,66494,0,inactive,inactive,,0
144211769,66571,0,inactive,inactive,,0
144213882,66597,0,inactive,inactive,,0
144212566,66598,0,inactive,inactive,,0
144211718,66609,0,inactive,inactive,,0
144212395,66623,0,inactive,inactive,,0
144212316,66636,0,inactive,inactive,,0
144211598,66638,0,inactive,inactive,,0
144213109,66666,0,inactive,inactive,,0
144212823,66678,0,inactive,inactive,,0
144213536,66688,0,inactive,inactive,,0
144213786,66743,0,inactive,inactive,,0
144211700,66755,0,inactive,inactive,,0
144212789,66760,0,inactive,inactive,,0
144211913,66793,0,inactive,inactive,,0
144206311,66826,0,inactive,inactive,,0
144206312,66829,0,inactive,inactive,,0
144211073,66854,0,inactive,inactive,,0
144211238,66858,0,inactive,inactive,,0
144211100,66885,0,inactive,inactive,,0
144205318,66909,0,inactive,inactive,,0
144207944,66912,0,inactive,inactive,,0
144212739,66932,0,inactive,inactive,,0
144210422,67000,0,inactive,inactive,,0
144212554,67005,0,inactive,inactive,,0
144212537,67045,0,inactive,inactive,,0
144212582,67054,0,inactive,inactive,,0
144208419,67058,0,inactive,inactive,,0
144212015,67060,0,inactive,inactive,,0
144212119,67065,0,inactive,inactive,,0
144212213,67123,0,inactive,inactive,,0
144207669,67151,0,inactive,inactive,,0
144208722,67172,0,inactive,inactive,,0
144209453,67174,0,inactive,inactive,,0
144212420,67215,0,inactive,inactive,,0
144211967,67236,0,inactive,inactive,,0
144212309,67274,0,inactive,inactive,,0
144211310,67284,0,inactive,inactive,,0
144213028,67285,0,inactive,inactive,,0
144207721,67299,0,inactive,inactive,,0
144203974,67313,0,inactive,inactive,,0
144212406,67322,0,inactive,inactive,,0
144211619,67329,0,inactive,inactive,,0
144207860,67349,0,inactive,inactive,,0
144212255,67350,0,inactive,inactive,,0
144205159,67406,0,inactive,inactive,,0
144210976,67437,0,inactive,inactive,,0
144203984,67533,0,inactive,inactive,,0
144212790,67535,0,inactive,inactive,,0
144210712,67542,0,inactive,inactive,,0
144210110,67579,0,inactive,inactive,,0
144210019,67589,0,inactive,inactive,,0
144205715,67678,0,inactive,inactive,,0
144210022,67688,0,inactive,inactive,,0
144210933,67818,0,inactive,inactive,,0
144210698,67821,0,inactive,inactive,,0
144207214,67955,0,inactive,inactive,,0
144207886,67967,0,inactive,inactive,,0
144212439,68023,0,inactive,inactive,,0
144205478,68089,0,inactive,inactive,,0
144205057,68093,0,inactive,inactive,,0
144210033,68119,0,inactive,inactive,,0
144204465,68186,0,inactive,inactive,,0
144208147,68191,0,inactive,inactive,,0
144210121,68226,43,active agonist,active agonist,,16.8083
144210039,68236,0,inactive,inactive,,0
144208409,68289,0,inactive,inactive,,0
144210040,68297,0,inactive,inactive,,0
144204010,68304,0,inactive,inactive,,0
144205183,68310,0,inactive,inactive,,0
144205301,68313,0,inactive,inactive,,0
144205434,68363,0,inactive,inactive,,0
144204016,68385,0,inactive,inactive,,0
144210047,68526,0,inactive,inactive,,0
144212378,68527,0,inactive,inactive,,0
144206684,68549,0,inactive,inactive,,0
144204146,68552,0,inactive,inactive,,0
144204469,68600,0,inactive,inactive,,0
144204517,68601,0,inactive,inactive,,0
144205937,68610,0,inactive,inactive,,0
144204267,68624,0,inactive,inactive,,0
144204781,68626,0,inactive,inactive,,0
144205868,68651,0,inactive,inactive,,0
144205426,68664,0,inactive,inactive,,0
144205365,68706,0,inactive,inactive,,0
144203805,68712,0,inactive,inactive,,0
144204537,68713,0,inactive,inactive,,0
144204496,68736,0,inactive,inactive,,0
144205292,68740,0,inactive,inactive,,0
144206545,68741,0,inactive,inactive,,0
144206983,68781,0,inactive,inactive,,0
144206332,68791,0,inactive,inactive,,0
144205361,68835,0,inactive,inactive,,0
144205603,68841,0,inactive,inactive,,0
144204273,68844,0,inactive,inactive,,0
144205576,68848,0,inactive,inactive,,0
144204529,68872,0,inactive,inactive,,0
144205362,68909,0,inactive,inactive,,0
