PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_SCORE, ,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%)
144213785,5364420,46,active antagonist,active antagonist,61.2356,-79.784
144212141,5364495,0,inactive,inactive,,0
144207423,5364509,0,inactive,inactive,,0
144212674,5364579,0,inactive,inactive,,0
144213932,5365049,0,inactive,inactive,,0
144213571,5365125,0,inactive,inactive,,0
144208353,5365552,0,inactive,inactive,,0
144212327,5365642,47,active antagonist,active antagonist,47.1227,-96.5715
144212081,5365748,0,inactive,inactive,,0
144212780,5365976,0,inactive,inactive,,0
144213009,5366352,0,inactive,inactive,,0
144212678,5366415,0,inactive,inactive,,0
144204570,5366546,50,active antagonist,active antagonist,11.9856,-58.6064
144211368,5367650,0,inactive,inactive,,0
144212521,5367692,0,inactive,inactive,,0
144212980,5367706,0,inactive,inactive,,0
144212809,5367785,0,inactive,inactive,,0
144212899,5368076,0,inactive,inactive,,0
144212623,5371002,0,inactive,inactive,,0
144208390,5371084,0,inactive,inactive,,0
144212009,5371102,0,inactive,inactive,,0
144211395,5371560,0,inactive,inactive,,0
144211123,5371562,0,inactive,inactive,,0
144210472,5372174,0,inactive,inactive,,0
144207422,5378708,0,inactive,inactive,,0
144212842,5388510,0,inactive,inactive,,0
144204423,5388962,0,inactive,inactive,,0
144205107,5388977,0,inactive,inactive,,0
70,5388983,20,active agonist,active agonist,0.12298095,124.165
144210186,5447130,0,inactive,inactive,,0
144203588,5459110,0,inactive,inactive,,0
144206165,5462328,0,inactive,inactive,,0
144204760,5462653,0,inactive,inactive,,0
144206853,5464257,0,inactive,inactive,,0
144206779,5468154,0,inactive,inactive,,0
144207073,5472495,0,inactive,inactive,,0
144205300,5478883,0,inactive,inactive,,0
144210543,5481119,0,inactive,inactive,,0
144206167,5484366,0,inactive,inactive,,0
144207038,5484438,0,inactive,inactive,,0
144206703,5484727,0,inactive,inactive,,0
144206354,5485193,0,inactive,inactive,,0
144206472,5485221,0,inactive,inactive,,0
144205003,5486699,0,inactive,inactive,,0
144207176,5486830,0,inactive,inactive,,0
144205028,5486971,0,inactive,inactive,,0
144206151,5487426,0,inactive,inactive,,0
144206438,5492898,0,inactive,inactive,,0
144206625,5702068,20,active agonist,active agonist,0.337801,47.3073
144204894,5702132,0,inactive,inactive,,0
144204132,5702161,0,inactive,inactive,,0
144203827,5702214,0,inactive,inactive,,0
144204938,5702220,0,inactive,inactive,,0
144203800,5702242,0,inactive,inactive,,0
144204829,5702285,0,inactive,inactive,,0
144203715,5702293,0,inactive,inactive,,0
144212419,5702667,0,inactive,inactive,,0
144209804,5702746,0,inactive,inactive,,0
144205742,5742631,0,inactive,inactive,,0
144211753,6024631,0,inactive,inactive,,0
144209913,6076971,0,inactive,inactive,,0
144205262,6093170,0,inactive,inactive,,0
144209975,6096946,0,inactive,inactive,,0
144211595,6099917,0,inactive,inactive,,0
144212568,6112114,20,active agonist,active agonist,25.9954,79.2995
144208404,6259976,0,inactive,inactive,,0
144206414,6321225,0,inactive,inactive,,0
144205572,6321253,0,inactive,inactive,,0
144211962,6321405,0,inactive,inactive,,0
144205885,6324663,0,inactive,inactive,,0
144209099,6327114,0,inactive,inactive,,0
144207653,6327116,0,inactive,inactive,,0
144209174,6327349,0,inactive,inactive,,0
144212798,6327366,0,inactive,inactive,,0
144211999,6327514,0,inactive,inactive,,0
144211527,6327546,0,inactive,inactive,,0
144208055,6327594,0,inactive,inactive,,0
144209977,6328152,0,inactive,inactive,,0
144211820,6328250,0,inactive,inactive,,0
144211045,6328651,0,inactive,inactive,,0
144206093,6328657,0,inactive,inactive,,0
144206616,6328684,0,inactive,inactive,,0
144205984,6364626,0,inactive,inactive,,0
144206746,6398970,0,inactive,inactive,,0
144206618,6400441,0,inactive,inactive,,0
144206927,6410758,0,inactive,inactive,,0
144204095,6419888,0,inactive,inactive,,0
144203681,6419921,0,inactive,inactive,,0
144203869,6419941,0,inactive,inactive,,0
144204103,6419942,0,inactive,inactive,,0
